account_id,marketing_channel,sharp_yn,country_group,account_open_year,account_open_month,sharp_flag
1,SEO,N,Ireland,2015,3,0
2,PPC (inc Competitor),N,United Kingdom,2018,4,0
3,SEO,N,United Kingdom,2015,4,0
4,Direct,N,United Kingdom,2016,8,0
5,SEO,N,Ireland,2006,10,0
6,Direct,N,United Kingdom,2015,3,0
7,PPC (inc Competitor),N,United Kingdom,2018,4,0
8,PPC (inc Competitor),N,United Kingdom,2018,4,0
9,SEO,N,Ireland,2015,4,0
10,Direct,N,United Kingdom,2018,3,0
11,PPC (inc Competitor),N,United Kingdom,2017,5,0
12,PPC (inc Competitor),N,United Kingdom,2017,3,0
13,PPC (inc Competitor),Y,United Kingdom,2014,12,1
14,SEO,Y,Ireland,2017,4,1
15,Display,N,United Kingdom,2006,10,0
16,Affiliates,N,United Kingdom,2018,6,0
17,SEO,N,United Kingdom,2015,10,0
18,Other,N,United Kingdom,2014,6,0
19,Direct,N,United Kingdom,2017,9,0
20,Direct,N,United Kingdom,2017,12,0
21,Affiliates,N,United Kingdom,2011,3,0
22,PPC Brand,Y,United Kingdom,2010,7,1
23,PPC Brand,N,United Kingdom,2015,8,0
24,Direct,N,United Kingdom,2018,4,0
25,PPC (inc Competitor),N,United Kingdom,2013,4,0
26,Direct,N,United Kingdom,2012,4,0
27,Direct,N,United Kingdom,2017,8,0
28,Direct,Y,United Kingdom,2018,4,1
29,Direct,N,United Kingdom,2017,6,0
30,SEO,N,United Kingdom,2013,4,0
31,Direct,Y,United Kingdom,2016,9,1
32,SEO,N,United Kingdom,2017,1,0
33,Direct,Y,United Kingdom,2017,12,1
34,Direct,N,United Kingdom,2017,3,0
35,Display,N,United Kingdom,2017,8,0
36,PPC Brand,Y,United Kingdom,2016,12,1
37,SEO,N,Ireland,2018,7,0
38,Direct,N,United Kingdom,2011,3,0
39,PPC (inc Competitor),N,United Kingdom,2018,3,0
40,Direct,N,United Kingdom,2018,6,0
41,PPC Brand,N,United Kingdom,2018,6,0
42,Affiliates,N,Other,2018,6,0
43,Affiliates,Y,United Kingdom,2018,2,1
44,Direct,N,Ireland,2008,3,0
45,Direct,N,United Kingdom,2018,12,0
46,Direct,N,United Kingdom,2009,8,0
47,Direct,N,United Kingdom,2014,8,0
48,PPC (inc Competitor),N,United Kingdom,2017,11,0
49,Direct,N,United Kingdom,2012,2,0
50,Direct,N,United Kingdom,2010,3,0
51,Affiliates,N,United Kingdom,2014,9,0
52,Affiliates,N,United Kingdom,2017,9,0
53,Direct,N,United Kingdom,2014,4,0
54,Affiliates,N,United Kingdom,2016,2,0
55,Affiliates,N,United Kingdom,2010,1,0
56,PPC (inc Competitor),N,United Kingdom,2013,1,0
57,PPC Brand,Y,United Kingdom,2011,8,1
58,Affiliates,N,United Kingdom,2016,8,0
59,Direct,N,United Kingdom,2007,2,0
60,Direct,Y,United Kingdom,2018,2,1
61,Direct,N,United Kingdom,2018,1,0
62,Affiliates,N,United Kingdom,2014,5,0
63,Social,N,United Kingdom,2014,2,0
64,Affiliates,Y,United Kingdom,2018,8,1
65,Direct,Y,United Kingdom,2018,3,1
66,SEO,N,United Kingdom,2015,1,0
67,PPC Brand,N,United Kingdom,2017,4,0
68,Affiliates,N,United Kingdom,2012,3,0
69,PPC Brand,Y,United Kingdom,2016,5,1
70,Affiliates,N,United Kingdom,2014,3,0
71,Direct,Y,United Kingdom,2015,12,1
72,Direct,N,United Kingdom,2016,10,0
73,Direct,N,Ireland,2012,2,0
74,Direct,N,Ireland,2014,3,0
75,Affiliates,Y,Other,2018,4,1
76,Direct,N,Other,2016,12,0
77,PPC Brand,N,United Kingdom,2011,4,0
78,Affiliates,N,United Kingdom,2013,3,0
79,Affiliates,N,United Kingdom,2015,11,0
80,SEO,Y,United Kingdom,2015,8,1
81,Direct,N,United Kingdom,2018,4,0
82,PPC Brand,N,United Kingdom,2018,3,0
83,SEO,N,United Kingdom,2018,6,0
84,SEO,N,United Kingdom,2018,6,0
85,Direct,N,United Kingdom,2018,7,0
86,PPC (inc Competitor),N,United Kingdom,2018,6,0
87,SEO,N,United Kingdom,2016,7,0
88,SEO,N,Ireland,2018,8,0
89,Direct,N,United Kingdom,2018,6,0
90,SEO,N,United Kingdom,2011,8,0
91,Social,N,United Kingdom,2018,6,0
92,Affiliates,N,United Kingdom,2018,11,0
93,SEO,Y,United Kingdom,2017,3,1
94,Direct,N,United Kingdom,2018,9,0
95,Affiliates,N,United Kingdom,2018,8,0
96,Affiliates,N,United Kingdom,2018,6,0
97,Direct,N,United Kingdom,2018,7,0
98,Social,N,United Kingdom,2018,5,0
99,Direct,N,United Kingdom,2018,5,0
100,Direct,N,United Kingdom,2018,3,0
101,SEO,N,United Kingdom,2018,7,0
102,Affiliates,N,United Kingdom,2018,6,0
103,SEO,N,United Kingdom,2018,4,0
104,Direct,N,Ireland,2018,3,0
105,Direct,N,United Kingdom,2018,4,0
106,Direct,N,United Kingdom,2018,2,0
107,Display,N,United Kingdom,2018,3,0
108,Display,N,United Kingdom,2018,4,0
109,Direct,N,United Kingdom,2018,6,0
110,SEO,N,Ireland,2006,11,0
111,Direct,N,United Kingdom,2015,10,0
112,Display,N,Ireland,2017,4,0
